V011,AP0001,AP0002,AP0003,AP0004,AP0005,AP0006,AP0007,AP0008,AP0009,AP0010,AP0011,AP012,AP0013,AP0014,AP015,AP0016,AP0019,AP0020,AP0062,DOMPRECDOMEXP,DOMPRECRESEXP,ADENSEXCDOMEXP,ADENSEXCRESEXP,ONUSEXCDOMEXP,ONUSEXCRESEXP,COABFAMDOMEXP,COABFAMRESEXP
3549904005001,19789,21865,41654,"49,02",30313,2124,898,8193,126,37822,"1259,3082",0,9736,54,13833,42191,13194,640,"3476,7159","140,74","10982,17","173,05","18958,36","605,95","28379,32",1037,"66268,88"
3549904005002,14293,16168,30461,"49,76",27625,318,969,1549,0,28840,"4112,7452",0,2700,180,11606,30882,11456,151,"9963,8996",0,0,"49,56","3778,76","153,22","8670,6",316,"32256,96"
3549904005003,28341,29509,57850,"45,25",43046,2081,524,12199,0,52390,"1014,5158","63066,03",13540,942,17562,58336,17199,363,"2915,8256","48,9","2996,22","302,96","29658,01","1033,42","48613,36",1293,"75612,67"
3549904005004,22753,23210,45963,"46,23",32293,1953,273,11336,108,41130,"1116,6297",0,11981,372,13347,46262,13217,130,"3282,1542","18,79",1059,"125,86","11614,41","663,29","41652,83",1061,"56609,01"
3549904005005,28660,28530,57190,"40,74",34753,3971,200,18247,19,49309,"676,729","13202,59",15634,21,16029,57428,15147,882,"2026,2689","68,06","3119,03","322,51","29645,04","517,81","36760,02",1258,"75358,93"
3549904005006,25658,27162,52820,"42,51",42466,2249,234,7848,24,47486,"866,1251",0,13748,334,15729,53295,15391,338,"2544,4249",0,0,"280,91","30957,08","781,55","47114,84",1286,"74814,16"
3549904005007,10002,9549,19551,"41,19",14331,802,121,4298,0,16286,"614,4216",0,5389,288,5808,19625,3206,2602,"1763,6918","14,8","334,27","58,47","7913,96","133,92","16008,01",268,"20180,12"
3549904005008,1484,1459,2943,"43,92",2502,74,20,347,0,2402,"730,7175",0,955,0,958,2971,526,432,"1910,2304","8,22","29,86","12,21","182,05","55,68","295,75",43,"269,14"
3549904005009,20136,21027,41163,"46,24",35368,369,1790,3636,0,37624,"3358,1462",0,6917,1247,13559,41584,13446,112,"8938,1306","67,71","6570,3",0,0,"251,36","14072,13",623,"34647,95"
3549904005010,23123,23071,46194,"45,02",31180,2222,139,12617,36,41101,"897,4972",0,12219,15,13084,46617,12475,609,"2730,7416","73,82","5716,05","150,39","40107,24","389,65","27047,5",1224,"70072,52"
3549904005011,38576,39680,78256,"46,81",43002,5249,424,29538,20,66557,"619,3393","17841,73",20758,132,21102,78549,20438,663,"1894,4337","461,51","36443,9","445,26","50320,32","798,29","47823,78",2358,"138419,04"
3549904005012,30654,33223,63877,"43,62",51173,1671,1414,9602,18,59107,"1757,0936",0,13925,150,20347,64399,19979,367,"4909,3196",0,0,"175,96","18626,78","1117,68","58471,09",1142,"70519,88"
3549904005013,45155,46844,91999,"43,62",69119,3725,2280,16806,0,83333,"1160,0959",0,23366,119,28099,92999,27989,110,"3293,4201",0,0,"359,19","29801,84","1424,37","84599,03",1921,"102129,44"
3550308005001,11577,12074,23651,"42,83",13619,978,1921,7133,0,21632,"1141,6519",0,343,32,9154,23834,9098,56,"2582,7646","56,23","3818,27","458,53","33383,47","746,01","33837,66",143,"5122,93"
3550308005002,10816,11572,22388,"45,84",15653,1360,588,4786,0,21347,"2084,7316",0,406,58,11121,22654,11025,96,"3913,8515","38,92","2743,19","213,33","28542,87","1089,42","49993,59",76,"3492,76"
3550308005003,17953,16640,34593,"43,76",22803,1531,1644,8443,171,32052,"1800,8232","240430,3",135,36,15503,34953,15264,240,"3628,1969","134,21","11181,15","571,19","62375,9","1593,11",68571,379,"22467,88"
3550308005004,16389,17503,33892,"47,47",17379,1622,5675,8837,379,30542,"1236,3292","395590,71",2693,81,11242,34274,10174,1068,"3255,9003","704,21","46557,24","606,77","66100,36","679,9","40305,78",584,"35761,57"
3550308005005,14621,14644,29265,"46,58",18996,1049,829,8334,57,26554,"1234,1558","101676,84",1137,584,10573,29400,10051,521,"3083,349","70,15","4161,75","411,14","49743,1","1233,06","63766,01",548,"33962,46"
3550308005006,16999,19949,36948,"50,34",27442,1212,1962,6309,23,33725,"2667,7395","308492,8",4333,537,13364,37324,12604,759,"6547,6","329,01","19733,37","281,63","27380,71","838,29","42777,48",582,"37102,11"
3550308005007,18597,21803,40400,"48,34",28848,1045,5697,4790,20,37286,"3142,9919","44375,13",3188,271,15444,40881,14969,475,"7437,16","63,41","2525,13","437,22","57580,4","689,48","61073,78",623,"46639,67"
3550308005008,13144,15548,28692,"41,71",16871,676,6940,4180,25,27216,"2506,427",0,485,183,12856,29058,12338,519,"5228,5952","39,1","767,33","270,26","33659,41","936,1","43444,98",228,"22531,67"
3550308005009,9118,9488,18606,"45,70",13897,680,610,3394,25,17467,"3489,9544",0,187,0,8883,18940,8541,344,"6770,9414","22,18","983,93","230,46","22958,95","689,82","26511,02",110,"8660,24"
